PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM
ANATOXINA TETÂNICA;ANATOXINA DIFTÉRICA;ANTÍGENO PERTUSSIS,61.821.344/0001-56,INSTITUTO BUTANTAN,545316020001102
ANFOTERICINA B,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506716030061803
ANFOTERICINA B;TETRACICLINA,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533503802164417
ANIDULAFUNGINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522712120030006
ANTÍGENO DE SUPERFÍCIE DA HEPATITE B,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510602505150317
ANTÍGENO HBS,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525502601156415
ANTIMONIATO DE MEGLUMINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502805502155311
APALUTAMIDA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514519010035302
APIXABANA,46.070.868/0036-99,LABORATÓRIOS PFIZER LTDA,552817120062917
APREMILASTE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544120110005217
APREPITANTO,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525503201119219
APROTININA;TROMBINA;FATOR XIII DE COAGULAÇÃO;FIBRINOGÊNIO,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502600603154414
APROTININA;TROMBINA;FIBRINOGÊNIO,49.351.786/0002-61,BAXTER HOSPITALAR LTDA,503215110023903
ARIPIPRAZOL,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511516100063606
ARMODAFINILA,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537521030009907
ARTESUNATO;CLORIDRATO DE MEFLOQUINA,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541921040008207
ASPARAGINASE,04.748.181/0009-47,LABORATÓRIOS BAGÓ DO BRASIL S/A,559119070009007
ASPARTATO DE ARGININA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502812201114317
ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO,57.507.378/0003-65,EMS S/A,507738601135413
ASPARTATO DE ORNITINA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504109202117316
ASPARTATO DE ORNITINA;CLORIDRATO DE ARGININA;CITRULINA,61.150.447/0001-31,LABORATÓRIOS BALDACCI LTDA,521001501113410
ATALURENO,25.210.463/0001-09,PTC FARMACEUTICA DO BRASIL LTDA.,586020050000307
ATENOLOL,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511500806117419
ATENOLOL;BESILATO DE ANLODIPINO,57.507.378/0003-65,EMS S/A,541818110093506
ATENOLOL;CLORTALIDONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508022903116114
ATENOLOL;NIFEDIPINO,53.162.095/0001-06,BIOSINTÉTICA FARMACÊUTICA LTDA,521110101116310
ATEZOLIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529218020027002
ATORVASTATINA CÁLCICA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013100099303
ATROPA BELLADONNA,06.597.801/0001-62,THEODORO F SOBRAL & CIA LTDA,532319120009007
AVELUMABE,33.069.212/0001-84,MERCK S/A,525418100050401
AXETIL CEFUROXIMA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510620090055807
AXETILCEFUROXIMA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510609102132318
AXITINIBE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522720020083617
AZACITIDINA,68.949.239/0001-46,UNITED MEDICAL LTDA,533200701159317
AZATIOPRINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506713050050703
AZILSARTANA MEDOXOMILA POTÁSSICA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501114090023201
AZITROMICINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523704705118410
AZITROMICINA DI-HIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508014050104206
AZITROMICINA DI-HIDRATADA;AZITROMICINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520727502111112
AZITROMICINA DIIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508014050104406
AZITROMICINA MONOIDRATADA,33.036.815/0001-80,QUIMICA HALLER LTDA,529620050000907
AZTREONAM,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521040029617
BACILLUS CEREUS,92.670.801/0001-82,GEYER MEDICAMENTOS S/A,510500101131415
BACITRACINA ZÍNCICA,06.597.801/0001-62,THEODORO F SOBRAL & CIA LTDA,532313090007104
BACITRACINA;SULFATO DE NEOMICINA,57.507.378/0003-65,EMS S/A,507723201160110
BACLOFENO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526508601113419
BACOPA MONNIERI (L.) WETTST.,78.950.011/0001-20,HERBARIUM LABORATORIO BOTANICO LTDA,511420070008907
BARICITINIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619020021501
BASILIXIMAB,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526513901154419
BELIMUMABE,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510613030050002
BELINOSTATE,21.896.000/0001-91,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,576120110000307
BENDAMUSTINA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514517090033302
BENFOTIAMINA,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540917020026317
BENRALIZUMABE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502318100033702
BENZBROMARONA,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504917100010613
BENZENO;MENTOL,19.791.813/0001-75,LABORATÓRIOS OSÓRIO DE MORAES LTDA,522100201132413
BENZILPENICILINA BENZATINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000906155314
BENZILPENICILINA POTÁSSICA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521060031617
BENZILPENICILINA POTÁSSICA;BENZILPENICILINA PROCAÍNA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521050030317
BENZNIDAZOL,10.877.926/0001-13,LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE,517006102111316
BENZOATO DE ALOGLIPTINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501114030021802
BENZOATO DE ALOGLIPTINA;CLORIDRATO DE METFORMINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501115110025205
BENZOATO DE ALOGLIPTINA;CLORIDRATO DE PIOGLITAZONA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501116070027205
BENZOATO DE BENZILA,17.115.437/0001-73,LABORATÓRIO GLOBO SA,517601601171419
BENZOATO DE RIZATRIPTANA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525501401110219
BENZOATO DE SÓDIO,05.254.971/0001-81,ZYDUS NIKKHO FARMACÊUTICA LTDA,536214100006117
BENZOCAÍNA,33.112.665/0001-46,DFL INDÚSTRIA E COMÉRCIO S/A,507200302174418
BENZOILMETRONIDAZOL,57.507.378/0003-65,EMS S/A,507733701131117
BENZOILMETRONIDAZOL;METRONIDAZOL,18.324.343/0001-77,BELFAR LTDA,503402901130415
BERACTANTO,15.800.545/0001-50,ABBVIE FARMACÊUTICA LTDA.,543714090000017
BESILATO DE ANLODIPINO,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511500408111410
BESILATO DE ANLODIPINO;LOSARTANA POTÁSSICA,57.507.378/0003-65,EMS S/A,541820080141307
BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA,57.507.378/0003-65,EMS S/A,541816080016706
BESILATO DE ANLODIPINO;TELMISARTANA,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504505601111314
BESILATO DE ATRACÚRIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070035806
BESILATO DE CISATRACÚRIO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506714010052204
BESILATO DE LEVANLODIPINO,57.507.378/0003-65,EMS S/A,541818100090904
BETA-AGALSIDASE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720020056117
BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;FUMARATO FERROSO;CARBONATO DE CÁLCIO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;COLECALCIFEROL,10.555.143/0001-13,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,542818050001917
BETACIPIONATO DE ESTRADIOL;ACETATO DE MEDROXIPROGESTERONA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504110101159416
BETAEPOETINA,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529204402158212
BETAÍNA,53.056.057/0001-79,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,576920010000107
BETAINTERFERONA 1A,33.069.212/0001-84,MERCK S/A,525420402151415
BETAINTERFERONA 1B,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526514120080103
BETAISTINA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501601202112411
BETAISTINA;CLORIDRATO DE BETAISTINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919060078317
BETAMETASONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508022003131419
BETAMETASONA;CETOCONAZOL,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520705901161414
BETAMETASONA;DEXAMETASONA;MALEATO DE DEXCLORFENIRAMINA,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538813102110415
BETAMETASONA;DEXCLORFENIRAMINA,02.814.497/0001-07,CIMED INDUSTRIA S.A.,506401601138419
BETAMETASONA;FOSFATO DISSÓDICO DE BETAMETASONA,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540917030027017
BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508027602130410
BETAMETASONA;SULFATO DE NEOMICINA;CETOCONAZOL,02.501.297/0001-02,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,527921010039007
BETAOCTOCOGUE,18.459.628/0001-15,BAYER S.A.,538920050030607
BETAPEGINTERFERONA 1A,07.986.222/0001-74,BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA,538317050001707
BEVACIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529207901139218
BEZAFIBRATO,57.507.378/0003-65,EMS S/A,507726801118111
BICALUTAMIDA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508012050091706
BICARBONATO DE POTÁSSIO;UNDECILENOIL ALGINATO DE SÓDIO/TEA,59.557.124/0001-15,RECKITT BENCKISER (BRASIL) LTDA,540114030001805
BICARBONATO DE SÓDIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509506801158417
BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO,29.346.301/0001-53,LABORATÓRIO FARMACÊUTICO VITAMED LTDA,517300401139417
BICARBONATO DE SÓDIO;GLICOSE;CLORETO DE SÓDIO,01.440.590/0001-36,FRESENIUS MEDICAL CARE LTDA,509603501171411
BILASTINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501105301116319
BIMATOPROSTA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501003601171312
BIOTINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552916080064207
BISACODIL,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533019501119417
BISGLICINATO FERROSO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531602602116416
BISOPROLOL,33.069.212/0001-84,MERCK S/A,525403005113411
BISOPROLOL;HIDROCLOROTIAZIDA,33.069.212/0001-84,MERCK S/A,525412010042703
BISSULFATO DE CLOPIDOGREL,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508028501117417
BISSULFATO DE CLOPIDOGREL;ÁCIDO ACETILSALICÍLICO,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919120091607
BITARTARATO DE METARAMINOL,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506700601156418
BLINATUMOMABE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544117080004101
BORAGO OFFICINALIS L.,78.950.011/0001-20,HERBARIUM LABORATORIO BOTANICO LTDA,511420080009007
BORATO DE SÓDIO;CLORETO DE CETILPIRIDÍNIO;BENZOCAÍNA,33.026.055/0001-20,MEGALABS FARMACEUTICA S.A.,516301202174411
BORTEZOMIBE,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523719040040004
BOSENTANA,33.150.764/0001-12,BIOLAB FARMA GENERICOS LTDA,506917030030006
BOSENTANA MONOIDRATADA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514519120034317
BRENTUXIMABE VEDOTINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501115010024502
BREXPIPRAZOL,04.522.600/0001-70,LUNDBECK BRASIL LTDA,524220080004407
BRIGATINIBE,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501120070031007
BRINZOLAMIDA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900401178310
BRIVARACETAM,64.711.500/0001-14,UCB BIOPHARMA LTDA.,525220080024307
BROLUCIZUMABE,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511521030072702
BROMAZEPAM,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508001104117117
BROMAZEPAM;SULPIRIDA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720050064417
BROMETO DE GLICOPIRRÔNIO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526515030080802
BROMETO DE GLICOPIRRÔNIO;DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508520050012707
BROMETO DE GLICOPIRRÔNIO;MALEATO DE INDACATEROL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526516050086605
BROMETO DE IPRATRÓPIO,57.507.378/0003-65,EMS S/A,507739601171116
BROMETO DE IPRATRÓPIO;BROMIDRATO DE FENOTEROL,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504505701175314
BROMETO DE N-BUTILESCOPOLAMINA;DIPIRONA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520716050102003
BROMETO DE OTILÔNIO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501604102119311
BROMETO DE PANCURÔNIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521060031517
BROMETO DE PINAVÉRIO,57.507.378/0003-65,EMS S/A,541812080003506
BROMETO DE PIRIDOSTIGMINA,33.173.097/0002-74,CELLERA FARMACÊUTICA S.A.,541718030017817
BROMETO DE ROCURÔNIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521060032017
BROMETO DE TIOTRÓPIO,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504504204135219
BROMETO DE TIOTRÓPIO MONOIDRATADO;CLORIDRATO DE OLODATEROL,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504520010021207
BROMETO DE UMECLIDÍNIO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510616120056407
BROMETO DE UMECLIDÍNIO;FUROATO DE FLUTICASONA;TRIFENATATO DE VILANTEROL,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510620020054407
BROMETO DE VECURÔNIO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506715002156419
BROMIDRATO DE CITALOPRAM,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508019001115114
BROMIDRATO DE DARIFENACINA,55.980.684/0001-27,ZODIAC PRODUTOS FARMACÊUTICOS S/A,534218030013906
BROMIDRATO DE DEXTROMETORFANO;GUAIFENESINA,59.476.770/0001-58,PROCTER & GAMBLE DO BRASIL LTDA,528700801131419
BROMIDRATO DE FENOTEROL,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504500605135314
BROMIDRATO DE GALANTAMINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523715080031906
BROMIDRATO DE VORTIOXETINA,04.522.600/0001-70,LUNDBECK BRASIL LTDA,524216010002902
BROMOPRIDA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523703701119414
BUDESONIDA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508020204172418
BUDESONIDA MICRONIZADA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504118060063417
BUMETANIDA,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500214110033617
BUPRENORFINA,10.555.143/0001-13,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,542818120002404
BUROSUMABE,27.724.245/0001-18,ULTRAGENYX BRASIL FARMACEUTICA LTDA,597321080000217
BUSSULFANO,33.051.491/0001-59,LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA,507003901156311
BUTIL BROMETO DE ESCOPOLAMINA,33.408.105/0001-33,GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA,510820090017107
BUTILBROMETO DE ESCOPOLAMINA,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504500802135317
BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA,57.507.378/0003-65,EMS S/A,507711101115411
BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA MONOIDRATADA,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504500903152314
BUTILBROMETO DE ESCOPOLAMINA;METILBROMETO DE HOMATROPINA;DIPIRONA MONOIDRATADA;BROMIDRATO DE HIOSCIAMINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531625801131414
BUTILBROMETO DE ESCOPOLAMINA;PARACETAMOL,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504501001111310
CABAZITAXEL,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017040116306
CABERGOLINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508019110127907
CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO,91.671.792/0001-81,LABORATÓRIO SAÚDE LTDA,531421070002707
CAFEÍNA ANIDRA;ÁCIDO ACETILSALICÍLICO;CLORIDRATO DE FENILEFRINA;MALEATO DE DEXCLORFENIRAMINA,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540917040027417
CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA;DIPIRONA,57.507.378/0003-65,EMS S/A,507710804139413
CAFEÍNA ANIDRA;CLORIDRATO DE ISOMETEPTENO;DIPIRONA,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506306102111412
CAFEÍNA ANIDRA;DIPIRONA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504616030037506
CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;CLORIDRATO DE ISOMETEPTENO;DIPIRONA,44.010.437/0001-81,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,505509303131412
CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO;DIPIRONA,33.173.097/0002-74,CELLERA FARMACÊUTICA S.A.,514005801119419
CAFEÍNA;ÁCIDO ACETIL SALICILICO,84.684.620/0001-87,LABORATORIO CATARINENSE LTDA,516120020003207
CAFEÍNA;CITRATO DE ORFENADRINA;DIPIRONA,02.501.297/0001-02,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,527919120035907
CAFEÍNA;HIDRÓXIDO DE ALUMÍNIO;MALEATO DE MEPIRAMINA;ÁCIDO ACETILSALICÍLICO,61.082.426/0002-07,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,540900801132413
CÁLCIO AMINOÁCIDO QUELATO,64.088.172/0001-41,ATIVUS FARMACÊUTICA LTDA,502400702132416
CALCIPOTRIOL,11.424.477/0001-10,LEO PHARMA LTDA,541100301168316
CALCITONINA SINTÉTICA DE SALMÃO,61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,519507701138417
CALCITRIOL,18.324.343/0001-77,BELFAR LTDA,503421040023317
CAMBENDAZOL;MEBENDAZOL,48.396.378/0001-82,UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA,532901401110417
CANABIDIOL;TETRAIDROCANABINOL,07.718.721/0001-80,BEAUFOUR IPSEN FARMACÊUTICA LTDA,539217070000902
CANAGLIFLOZINA HEMI-HIDRATADA,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514514110027102
CANAQUINUMABE,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526532001155318
CANDESARTANA CILEXETILA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523716090034004
CÂNFORA,84.684.620/0001-87,LABORATORIO CATARINENSE LTDA,516120030003607
CÂNFORA (2-BORNANONA),48.113.906/0001-49,1FARMA INDUSTRIA FARMACEUTICA LTDA,526212090008403
CÂNFORA (2-BORNANONA);MENTOL;SALICILATO DE METILA,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506300301163413
CÂNFORA (2-BORNANONA);SALICILATO DE METILA,18.324.343/0001-77,BELFAR LTDA,503403701161412
CAPECITABINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017090118504
CAPLACIZUMABE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576721090096401
CAPSAICINA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501601902165313
CAPTOPRIL,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504916030010006
CARBACOL,61.129.409/0001-05,OPHTHALMOS S/A,527200101157418
CARBAMAZEPINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526515004117311
CARBIDOPA (PORT. 344/98 LISTA C 1);ENTACAPONA;LEVODOPA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511521010072617
CARBIDOPA (PORT. 344/98 LISTA C 1);LEVODOPA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506714060053103
CARBOCISTEÍNA,57.507.378/0003-65,EMS S/A,507704102136126
CARBÔMER 340,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501004903161415
CARBÔMER;SORBITOL,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503100901162419
CARBONATO CÁLCIO;COLECALCIFEROL,02.456.955/0001-83,NATULAB LABORATÓRIO S.A,540401801110416
CARBONATO DE CÁLCIO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510612060048104
CARBONATO DE CÁLCIO 90%;CARBONATO HIDRÓXIDO DE MAGNÉSIO;HIDROXIDO DE ALUMÍNIO,25.773.037/0001-83,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,528112060013703
CARBONATO DE CÁLCIO;ÁCIDO ASCÓRBICO,59.476.770/0001-58,PROCTER & GAMBLE DO BRASIL LTDA,528720090004917
CARBONATO DE CÁLCIO;ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,33.349.473/0001-58,FARMOQUÍMICA S/A,509004601111311
CARBONATO DE CÁLCIO;CARBONATO BÁSICO DE BISMUTO;BICARBONATO DE SÓDIO;CARBONATO DE MAGNÉSIO,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505620070045217
CARBONATO DE CÁLCIO;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;COLECALCIFEROL,57.507.378/0003-65,EMS S/A,507736301118411
CARBONATO DE CÁLCIO;COLECALCIFEROL,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524803301110411
CARBONATO DE CÁLCIO;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO,57.507.378/0003-65,EMS S/A,507714502110415
CARBONATO DE CÁLCIO;HIDROXIDO DE MAGNESIO;HIDROXIDO DE ALUMÍNIO,57.507.378/0003-65,EMS S/A,541820090146107
CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510617100057517
CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO;ÁCIDO ASCÓRBICO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510617080057218
CARBONATO DE LÍTIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508001404110312
CARBONATO DE LODENAFILA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506718301111217
CARBOPLATINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523707206155412
CARBOXIMALTOSE FERRICA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501113010020402
CARBOXIMETILCELULOSE SÓDICA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533018001171411
CARFILZOMIBE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544116100003701
CARISOPRODOL,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533012120058603
CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500503001114411
